site_type,site,source,site-functional
NL-opinion-islamic,groenemoslims.nl,polderislam,1
NL-opinion-islamic,nieuwwij.nl,polderislam,1
NL-opinion,Frontaalnaakt.nl,haye,1
NL-opinion,joop.nl,haye,1
NL-opinion,opiniez.com,haye,1
NL-opinion,republiekallochtonie.nl,haye,1
NL-opinion,ejbron.wordpress.com,haye+dehoaxwizer,1
NL-opinion,joostniemoller.nl,haye,1
NL-opinion,dutchfreepress.nl,haye,1
NL-opinion,eunmask.wordpress.com,haye+dehoaxwizer,1
NL-opinion,jalta.nl,haye,1
NL-opinion,kudtkoekiewet.nl,haye,1
NL-opinion,krapuul.nl,haye,1
NL-opinion,tpo.nl,haye,1
NL-opinion,dagelijksestandaard.nl,haye+dehoaxwizer,1
NL-opinion,geenstijl.nl,haye,1
NL-opinion,dds.nl,haye,0
NL-nieuws,vk.nl,haye,1
NL-nieuws,telegraaf.nl,haye,1
NL-clickbait,smakelijk.co,haye,1
NL-clickbait,trendbuzz.nu,haye,0
NL-clickbait,ongelooflijk.nu,haye,1
NL-clickbait,viraltube.nl,haye,0
NL-politics,Vvd.nl,haye,1
NL-politics,Groenlinks.nl,haye,1
NL-politics,Pvda.nl,haye,1
NL-politics,Sp.nl,haye+denhaag,1
NL-politics,Fvd.nl,haye,1
NL-politics,Bewegingdenk.nl,haye,1
NL-politics,Cda.nl,haye,1
NL-politics,Pvv.nl,haye,1
NL-politics,D66.nl,haye,1
NL-politics,Pvdd.nl,haye,1
NL-politics,Christenunie.nl,haye,1
NL-politics-DH,hartvoordenhaag.nl,haye+denhaag,1
NL-politics-DH,vvddenhaag.nl,haye+denhaag,1
NL-politics-DH,denhaag.d66.nl,haye,1
NL-politics-DH,denhaag.pvda.nl,haye+denhaag,1
NL-politics-DH,pvvdenhaag.nl,haye+denhaag,0
NL-politics-DH,denhaag.sp.nl,haye,1
NL-politics-DH,haagsestadspartij.nl,haye+denhaag,1
NL-politics-DH,denhaag.groenlinks.nl,haye+denhaag,1
NL-politics-DH,50pluspartij.nl,Denhaag,1
NL-politics-DH,cdadenhaag.nl,Denhaag,1
NL-politics-DH,denhaag.christenunie.nl,Denhaag,1
NL-politics-DH,d66denhaag.nl,Denhaag,1
NL-politics-DH,islamdemocraten.nl,Denhaag,1
NL-politics-DH,denhaag.nida.nl,Denhaag,1
NL-politics-DH,partijvandeeenheid.nl,Denhaag,1
NL-politics-DH,denhaag.partijvoordedieren.nl,Denhaag,1
